N°,Catégorie,Thème,Question (CTRL + flèche du bas pour aller à la dernière ligne remplie) --- Noms d'oeuvres en italique,Réponse
564,Otaku,Manga,"Sur le papier, combien de coups sont nécessaires à Saitama pour gagner une baston dans One Punch Man ?",Un coup (de poing)
565,Otaku,Light Novel,"Dans Eromanga-sensei, quel est la profession du héros ?",Auteur de light novels
566,Otaku,Manga,"Dans Miss Kobayashi's Dragon Maid, quelle est l'espèce et la profession de Kobayashi ?",Humaine / informaticienne
567,Otaku,Light Novel,"Vrai ou Faux : ""Musume"" signifiant ""jeunes filles"", ""Yakyuu"" ""baseball"" et Taishô étant une période de l'histoire du Japon qui dure de 1912 à 1926, alors la série Taisho Yakyuu Musume raconte les aventures de jeunes filles qui, dans le Japon des années 20, décident de monter une équipe féminine de baseball.",Vrai
568,Otaku,Light Novel,Vrai ou Faux : la petite sœur du héros de Boku no imouto wa Camping-car desu ka?! (litt. Ma petite sœur est un camping car ?!) est un camping-car…?,"Faux, cette série n'existe pas"
569,Otaku,Manga,Quels sont les ennemis de l'humanité dans le manga Dead Dead Demon Dededededestruction ?,Des extra-terrestres / l'humanité elle-même
570,Otaku,Animé,"Où se déroule la majeure partie de l'intrigue de la série Ima, Soko ni Iru Boku, judicieusement renommée l'Autre Monde pour sa sortie française à la fin des années 90 ?",Dans un autre monde
571,Otaku,Light Novel,Que se passe-t-il si les héroïnes de la série Read or Die s'arrêtent de lire trop longtemps ?,Rien du tout
572,Otaku,Manga,Comment s'appelle l'héroïne de l'excellent manga intitulé Le Voyage de Kuro ?,Kuro
573,Otaku,Manga,"Dans le manga et le film d'animation le Roi des ronces, Morita, c'est le roi de quoi ?",De rien du tout. Il n'y a pas de roi ni de Morita dans ce film
574,Otaku,Animé,Comment s'appelle l'héroïne de la série Violet Evergarden ?,Violet Evergarden
575,Otaku,Manga,Quelle est la particularité du lycée des personnages principaux de My Hero Academia ?,C'est un lycée de super héros
576,Otaku,Manga,Comment s'appelle le petit carnet au cœur de l'intrigue de Death Note ?,Le Death Note
577,Otaku,Animé,De quoi parle la série Ping Pong the Animation ?,de ping-pong
578,Otaku,Animé,"Finalement, c'était quoi le nom de la fleur aperçue ce jour-là dans AnoHana / Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai ?",Nous l'ignorons toujours
579,Otaku,Animé,"Dans l'animé Space Dandy, Space Dandy est un…?",Dandy de l'espace
580,Otaku,Animé,"Dans son école, l'héroïne de Princess Tutu apprend…?",La danse / le ballet
581,Otaku,Animé,"Au début de la très chouette série Tokyo Magnitude 8.0, Tokyo est frappé par un seïsme. Quelle est sa magnitude ?",8.0
582,Otaku,Animé,Comment s'appelle la rue commerçante où se déroule la série Abenobashi Magical Shopping Street ?,La rue Abenobashi
583,Otaku,VN,Qu'est-ce qui pousse sur la Grisaia dans le Fruit de la Grisaia ?,Rien du tout. La Grisaia n'est pas une plante aux dernières nouvelles
584,Otaku,Animé,"Dans le Chien des Flandres, Patrache, c'est quoi comme animal ?",Un chien
585,Otaku,Animé,"L'héroïne du film Miss Hokusai, c'est la fille de qui ?",Du peintre Hokusai
586,Otaku,Manga,"Dans l'établissement ou travaillent les héroïnes d'Is the order a rabbit?, qu'est-ce que je peux commander en journée ?","Diverses boissons non alcoolisées, chaudes ou froides"
587,Otaku,Animé,Comment s'appelle l'héroïne de la série Charlotte ?,Nao
588,Otaku,Animé,Quelle organisation rejoint Luluco dans Space Patrol Luluco ?,La Space Patrol
589,Otaku,Animé,Qui sont les deux seuls personnages du court-métrage de Makoto Shinkai Elle et son Chat ?,Une jeune femme (Elle) et son chat
590,Otaku,Animé,"Gundam 0079 étant sorti en 1979, en quelle année est sorti Gundam 0083: Stardust Memories ?",En 1991
591,Otaku,Manga,Quel célèbre personnage de dessin animé est au cœur du manga Pluto ?,Astro Boy
592,Otaku,Manga,"Dans le mangas Iris Zéro, quel terme péjoratif est utilisé pour désigner les gens, comme le héros, dont les yeux ne sont pas dotés de pouvoir ?",Iris Zéro
593,Otaku,Animé,"Dans le film Les Enfants du temps de Makoto Shinkai, quel plat sert Hina à Hodoka lorsque ce dernier n'a pas d'argent pour se nourrir ?",Un Big Mac™
594,Culture G,Tech,Combien y a-t-il de Go dans 1 To ?,1000 Go
595,Culture G,Tech,Quel terminal informatique utilisait des services via (principalement) le numéro de téléphone 3615 ?,Le Minitel
596,Otaku,Manga,Peux-tu me citer 3 éditeurs français de mangas ?,"Pika, Kurokawa, Glénat, Kana, Delcourt-Tonkam, Soleil, Crunchyroll, Panani, Akata, Le Lézard Noir, Doki Doki, Ki-oon, Komikku, Noeve Grafx, nobi nobi, Vega - Dupuis, Meian, naBan, Mana Books"
597,Culture G,Science,À quelle vitesse voyage la lumière dans le vide ?,Environ 300 000 km/s
598,Otaku,Animé,La série KanColle (Kantai Collection) a pour protagonistes des personnages anthropomorphes représentant... quoi ?,Des navires de guerre de la 2nd Guerre mondiale
599,Otaku,Manga,"Dans Akira, c'est qui le personnage qui a une superbe moto rouge ?",Kaneda
600,Otaku,Manga,Quel est le point commun entre les mangas Aria et Amanchu ?,"C'est la même autrice, Kozue Amano / L'eau joue une place importante "
601,Otaku,Animé,"Quel duo de chanteuses a interprêté des génériques pour Madoka Magica, Nisekoi, Eromanga-sensei ou encore Classroom Crisis ?",ClariS
602,Otaku,Animé,"De quel instrument à vent adore jouer Renge, la petite fille campagnarde dans l'animé Non Non Biyori ?",De la flûte
603,Otaku,Animé,Quel est le nom d'emprunt de Chihiro dans le film du studio Ghibli ?,Sen
604,Otaku,Animé,Où veulent aller les héroïnes de l'excellent animé A Place Further than the Universe ?,Au pôle Sud
605,Otaku,VN,"Dans Steins;Gate, quel est la ligne d'Univers que cherche à atteindre Okabe pour sauver tout ses amis ?",Le Steins;Gate
606,Otaku,VN,Dans quelle ligne d'Univers commence l'intrigue de Steins;Gate ? La ligne α (alpha) ou β (beta) ?,"La ligne β, c'est dans la ligne α que c'est la sauce."
607,Culture G,Autre,Comment on appelle ce moment où tu vis une situation que tu penses avoir vécu auparavant et dans les mêmes conditions ?,Le Déjà Vu
608,Otaku,Animé,"D'après le générique français de Dorémi Magique, à quoi faut-il faire attention pour éviter les retours de baton ?",Au Craccordéon
609,Otaku,Manga,Dans quel pays nordique se déroule l'intrigue du manga Dans le sens du vent (édité en France chez Soleil) ?,En Islande
610,Japon,Autre,"Que sont Shueisha, Kodansha, Shogakukan ou encore Hakusensha ?","Des éditeurs japonais (de mangas, mais pas que)"
611,Culture G,Architecture,"Quel est ce bâtiment dont l'architecture évoque un voilier pour certains, un coquillage pour d'autres, et que je peux voir dans la baie de Syndey ?",L'Opéra de Sydney
612,Culture G,Cinéma,Dans quel film réalisé par les créateurs de South Park peut-on entendre la chanson America (Fuck Yeah) ?,"Team America, police du monde"
613,Culture G,Cinéma,"Selon une chanson d'un célèbre dessin animé de Disney, à qui devez-vous faire place ?",Au Prince Ali
614,Otaku,Animé,"En 2009, comment la 2e saison de la série La Mélancolie de Haruhi Suzumiya avait-elle choisi d'illustrer le fait que les personnages se retrouvent enfermés dans une boucle temporelle ?","En faisant se répéter une même histoire sur 8 épisodes, qui sont du coup identiques à quelques détails près à chaque fois."
615,Otaku,Manga,"Dans Kaguya-sama: Love is War, qui est secrétaire du BDE ?",Chika
616,Otaku,Manga,"À part du BDE, de quel club Chika est-elle membre dans Kaguya-sama: Love is War ?",Le club de jeux de société
617,Culture G,Télévision,Dans quelle émission d'Antenne 2 les animés Goldorak et Candy ont été diffusés pour la première fois en France en 1978 ?,Récré A2
618,Otaku,Animé,De quel signe du zodiaque Camus est-il le chevalier d'or ?,Du Verseau
619,Otaku,Animé,Comment s'appelle le chat noir qui parle et qui squatte chez Nano et Hakase dans la série Nichijou ?,Sakamoto
620,JV,Jeu Vidéo,Peux-tu me citer une série de jeux vidéo auxquels on peut jouer avec une guitare en plastique en guise de manette ?,"Rock Band ou Guitar Hero, mais en théorie, plein d'autres choses aussi si on se sent aventureux"
621,Otaku,Manga,"Sous quel(s) pseudo(s) est connue Hitori Goto, l'héroïne de Bocchi the Rock ?","Guitar Hero, Bocchi, Mangue Masquée"
622,Otaku,Manga,"Quelle passion commune ont Kikuri Hiroi, bassiste dans Bocchi the Rock et Minami Toba, enseignante dans Yuru Camp / Au grand air ?",La PICOLE
623,Japon,Mécanique,"Quel est, en volume, le plus gros constructeur japonais d'automobiles et de camions ?",Toyota
624,Japon,Mécanique,"Si tu es fan du Joueur du Grenier, tu peux me citer le modèle de voiture (japonaise) de Jean-Michel Bruitage ?",Une Nissan Primera
625,Otaku,Manga,"Quelle voiture de chez Toyota fait la fierté et la joie du sous-directeur Uchiyamada dans GTO, mais sera détruite à 4 ou 5 reprise ?","Une CRESTA (Super Lucent, 2,5L, modèle de 1996)"
626,Otaku,Manga,"Avec quelle voiture de chez Toyota Takumi, le héros d'Initial D, livre-t-il du tofu est s'adonne-t-il à des courses clandestines dans des routes de montagnes ?",Une Toyota Sprinter Trueno AE86 (GT-Apex)
627,Culture G,Géographie,Quel est le numéro et le nom du dernier département de la liste des départements de France métropolitaine ?,"95, le Val-d'Oise"
628,JV,Jeu Vidéo,Sur quelle console sont sortis initialement les jeux Metroid Prime et Metroid Prime 2: Echoes ?,La/le Game Cube
629,JV,Jeu Vidéo,Peux-tu me donner le nom d'un des packs d'extension de Final Fantasy XIV ?,"Heavensward, Stormblood, Shadowbringers"
630,JV,Jeu Vidéo,"Avant de devenir un MMORPG acclamé par la critique (et gratuit jusqu'au niveau 60 !), qu'est-il arrivé à Final Fantasy XIV ?",La première version était turbo-bugguée et a floppé de fou. Les équipes ont développé une nouvelle version (A Realm Reborn) et ont mis en scène la fin du monde dans la première avant de débrancher les serveurs.
631,JV,Jeu Vidéo,Dans quel jeu Final Fantasy sont apparus pour la premlière fois Cloud Strife et Tifa Lockhart ?,FF VII
632,JV,Jeu Vidéo,"Quelle série de jeux vidéo est surnommé ""dorakue"" au Japon ?",Dragon Quest
633,Otaku,Light Novel,De quelle comédie romantique de la 2e moitié des années 2000 Taiga et Ryuuji sont-ils les protagonistes ?,Toradora!
634,Otaku,Manga,Quel est l'Alter de la plutôt discrète Tooru Hagakure dans My Hero Academia ?,Invisibilité
635,Japon,Télévision,Quelle phrase hyper clichée sur le Japon peut-on entendre dans quasiment tous les reportages sur ce pays à la TV française ?,"""Le Japon, un pays entre traditions et modernité"""
636,Japon,Histoire,"Quel avion de chasse, inventé par l'ingénieur Jirô Horikoshi et fabriqué par Mitsubishi, a permis au Japon, par son large rayon d'action, de lancer l'attaque sur Pearl Harbor en 1941 ?","L'A6M, plus connu sous son surnom ""Zero"""
637,Japon,Histoire,"Quel pays a remporté la guerre russo-japonaise, opposant les empires de Russie et du Japon de 1904 à 1905 ?",Le Japon
638,Japon,Histoire,"Quelle province du nord-est de la Chine a été sous le contrôle de la Russie, puis du Japon, puis de l'URSS, puis à nouveau du Japon, puis de l'armée rouge chinoise durant la première moitié du 20e siècle ?",La Mandchourie
639,Japon,Architecture,"Pour quelle occasion l'artiste japonais Tarô Okamoto a-t-il conçu la très étrange Tour du Soleil, toujours visible à Osaka de nos jours (et que l'on croise dans le manga 20th Century Boys) ?",L'exposition universelle d'Osaka de 1970
640,Japon,Mécanique,Quel véhicule très lié à l'imagine du Japon a été inauguré le 1er octobre 1964 ?,Le Shinkansen
641,Japon,Histoire,Quel événement international a eu lieu à Tokyo au début de l'automne 1964 ?,Les jeux Olympiques d'été de Tokyo
642,Culture G,Histoire,"L'Allemagne de l'Est, c'était la RDA ou la RFA ?",RDA
643,Japon,Tech,"Quel nom, très inspiré du créateur des lois de la robotique, a été donné par l'entreprise japonaise Honda à son robot qui en 2000 a été considéré comme le premier robot humanoïde capable de marcher de façon réaliste. ",ASIMO
644,Culture G,Tech,"En robotique, que dit la théorie de la Vallée de l'étrange (uncanny valley en anglais) ?","Plus un robot androïde est similaire à un être humain, plus ses imperfections nous paraissent monstrueuses. (Masahiro Mori, 1973)"
645,Japon,Autre,"De temps en temps, on tombe sur des animés ou des mangas un peu chelou produits par un truc appelé Happy Science. Mais c'est quoi Happy Science ?",Une giga secte. Oups.
646,Otaku,Animé,"Dans Psycho Pass, il vaut mieux que mon indice de psycho pass ne dépasse pas quelle valeur si je ne veux pas de problème avec les autorités ?",150
647,Otaku,Animé,"Dans Psycho Pass, il vaut mieux que mon indice de psycho pass ne dépasse pas quelle valeur si je ne veux pas qu'un policier se serve de son flingue pour me transformer en purée de tomates ?",300
648,Otaku,Animé,"Dans l'animé Charlotte, qu'est-ce que la petite sœur du héros essaie généralement de mettre sur tous les plats ?",De la sauce pizza (nano desu)
649,Otaku,Manga,"Dans Miss Kobayashi's Dragon Maid, quelle est la taille (autoproclamée) de bonnet de soutien-gorge de Tooru ?",D comme dragon
650,Otaku,Manga,"Dans Miss Kobayashi's Dragon Maid, que devient Fafnir à force de fréquenter son colocataire Takiya ?",Un pur otaku fan de jeu vidéo
651,Culture G,Télévision,"Hors de lui, de quoi s'est armé Brandon avant de devenir totalement incontrolable (contexte : L'Île de la Tentation, 2002) ?",D'un bâton
652,Otaku,Animé,C'est quoi la particularité du générique de fin de Chainsaw-man ?,Il y en a un différent par épisode.
653,Culture G,Musique,Comment s'appelait ce fringueux chanteur moustachu à chapeau qui bégayait des choses incompréhensible avec un débit de mitrailleuse lourde dans les plus belles années de l'eurodance ?,Scatman John
654,Otaku,Manga,C'est quoi la première carte que capture Sakura ?,"Windy, la carte du vent"
655,Otaku,Animé,Quel est le dernier film d'animation japonaise réalisé par le regretté Satoshi Kon ?,Paprika
656,Culture G,Langue,"Est-ce que tu peux me donner un juron québécois, là, comme ça, au débotté ?","Calice, Tabarnak, Saint-cimonaque, Marde, Ostie, Sacréfice, Viande à chien, Saintes fesses... "
657,Otaku,Animé,"Paprika, le dernier film du regretté Satoshi Kon, a un scénario très similaire à un film américain très populaire sorti en 2010. Lequel ?",Inception
658,Otaku,Manga,Quel est la particularité physique du personnage principal du manga Bonne nuit Punpun ?,Il est représenté sous la forme d'un petit oiseau.
659,JV,Jeu Vidéo,"Dans le superbe jeu Portal, il est très souvent dit que le gâteau est... ?",un mensonge
660,JV,Jeu Vidéo,Quel triste sort attend le cube de voyage lesté d'Aperture Science dans le premier opus du jeu Portal ?,Il est brûlé vif. Par le joueur. Alors que c'était son seul ami.
661,JV,Jeu Vidéo,Attention spoil de 2011 ! Comment finit l'antagoniste de Portal 2 à la fin du jeu ?,Il est envoyé DANS L'ESPAAAAAAAAAAAAACE
662,JV,Jeu Vidéo,Quelle mécanique a été ajouté dans Portal 2 par rapport au premier opus ?,Les gels
663,JV,Jeu Vidéo,Dans quoi est transféré GladOS dans Portal 2 ?,Dans une patate
664,JV,Jeu Vidéo,"Dans Portal 2, à quoi sert le gel bleu ?",À rebondir
665,JV,Console,"Qu'on fait les gens sur les internets quand Nintendo a annoncé que les cartouches de la Switch étaient comestibles (ou en tout cas, pas toxiques) ?",Ils ont léché les cartouches. Comme des gros bouffons.
666,Culture G,Cinéma,C'est quel(s) film(s) de Batman qui met en scène un Batman portant une armure giga-moulante et moult sous-entendu homosexuels entre lui et Robin ?,Batman Forever / Batman & Robin
667,JV,Jeu Vidéo,"Quelle série de jeux vidéo au cadre exotique a vu le jour à la fin des années 1980 avant de devenir une licence forte d'Ubisoft dans les années 2000, puis d'être enterrée par Assassin's Creed ?",Prince of Persia
668,JV,Jeu Vidéo,Peux-tu me citer un jeu développé par le studio lyonnais Arkane ?,"Arx Fatalis, Dark Messiah of Might and Magic, la série Dishonored, Prey, Wolfenstein: Youngblood, Deathloop, Redfall"
669,JV,Mobage,"Quel jeu mobile japonais va amener ses personnages à lutter contre des Singularités, puis des Lostbelt ?",Fate/Grand Order
670,JV,Jeu Vidéo,De quel série de jeux vidéo L'Étrange village est-il le premier opus ?,Professeur Layton
671,JV,Mario,"Quel était le nom, lors de sa première apparition dans un jeu vidéo, du petit moustachu à casquette rouge et salopette qui allait par la suite être baptisé Mario ?",Jumpman (dans le jeu Donkey Kong)
672,Otaku,Manga,Quel manga de Naoki Urasawa est nommé d'après une chanson du groupe de glam-rock anglais T-Rex ?,20th Century Boys
673,Culture G,Nourriture,Dans quel pays d'Europe puis-je trouver sans difficulté une marque de soda nommée Sumol ?,Au Portugal
674,Otaku,Animé,"De quelle planète est originaire Suletta, l'héroïne de Mobile Suit Gundam: The Witch from Mercury ?",De Mercure
675,Otaku,Animé,Qu'est-ce que le protagoniste de la série The Tatami Galaxy est condamné à revivre en boucle ?,Ses années de fac
676,Otaku,Animé,Quel chanson de Bob Dylan sert de sous-titre au film de Cowboy Bebop ?,Knockin' on Heaven's Door
677,Otaku,Manga,"Dans la comédie romantique My Bride is a Mermaid, outre qu'il s'agit de sirènes, qu'elle est l'autre secret de la future belle famille du héros ?",C'est un clan de yakuza
678,Otaku,Random,Est-ce que tu peux me citer un animé qui est sorti l'année de ta naissance ?,"Moi, par exemple, ça pourrait être la première saison de Sailor Moon"
679,Otaku,Animé,Quel élément sert aux fans de Lupin III à différencier les différentes saisons et époques de la série ?,"La couleur de la veste de Lupin (vert, rouge, rose puis bleu)"
680,Otaku,Animé,Qu'arrive-t-il a beaucoup des personnages (humains et animaux) qui voyagent avec Rémi dans Rémi sans famille ?,Ils meurent
681,Otaku,Animé,"L'animé a 50 ans, le bouquin d'origine 150... allez, on peut se permettre de le spoiler : tu peux me raconter la fin d'Un chien des Flandres ?","Le gamin meurt, le chien aussi"
682,Otaku,Animé,"Quel animé à succès du début des années 2010 mettait en scène un lycéen descolarisé, hanté par le fantôme de son amie d'enfance qui était bien décidée à le remettre sur le droit chemin ?",Ano Hana (ou Ano hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai)
683,Otaku,Animé,Quel animé à succès des années 2000 mettait en scène un lycéen dépressif anciennement basketeur et une lycéenne maladive voulant faire du théâtre ?,Clannad
684,Otaku,Yuri,"Dans les mangas, à quelle fleur est généralement associée l'homosexualité féminine ?",Au lys
685,Otaku,Manga,Comment s'appelle le gros poussin/pingouin que l'on croise régulièrement dans Gintama ?,Elizabeth
686,JV,Jeu Vidéo,"À quel studio japonais doit-on les jeux Demon Souls, Dark Souls, Bloodborne, Sekiro ou encore Elden Ring ?",From Software
687,JV,Jeu Vidéo,Tu pourrais tenter de m'expliquer le concept de la majorité des jeux Senran Kagura ?,C'est des filles ninja plantureuses qui s'affrontent... et leurs vêtements déchirent à mesure qu'elle reçoivent des coups
688,JV,Jeu Vidéo,De quelle autre série de jeux de Nintendo le personnage de James McCloud dans F-Zero GX est-il inspiré ?,De Star Fox
689,JV,Jeu Vidéo,À quelle date extrêmement symbolique le jeu Skyrim est-il initialement sorti ?,Le 11 novembre 2011
690,JV,Jeu Vidéo,"D'après les blagues que se racontent Shepard et Garrus dans Mass Effect, que fait un thurien qui n'a plus de munitions pour poursuivre le combat ?",Il se bat avec le balai qu'il a dans le cul
691,JV,Jeu Vidéo,"Dans le chouette JRPG Baten Kaitos, sorti jadis sur Gamecube, que se passait-il si tu gardais une carte ""banane"" trop longtemps dans ton inventaire ?","Elle se transformait en carte ""banane pourrie"" (et infligeait des dégats au lieu de soigner)"
692,JV,Jeu Vidéo,Quel jeu vidéo te permet de conduire des gros camions sur toutes les routes européennes ?,Euro Truck Simulator
693,JV,Jeu Vidéo,Quel objectif ont en commun les protagonistes des jeux Céleste et Journey ?,Gravir la montagne du jeu
694,JV,Jeu Vidéo,"Quel jeu, typé visual novel, te fait incarner une barmaid dans un univers cyberpunk dystopique ?",VA11-HA11A
695,JV,Mobage,Quel jeu a largement contribué à faire connaître le studio miHoYo dans le monde entier ?,"Genshin Impact (et Honkai Impact 3rd, dans une moindre mesure)"
696,JV,Jeu Vidéo,"Dans le jeu Hadès, quelle divinité de l'Olympe t'octroit des pouvoirs de glace ?",Déméter
697,JV,Mario,"Quel est le ""secret"" du tracé du circuit Yoshi dans Mario Kart ?",Il est en forme de Yoshi
698,JV,Console,Quelle console de Sony avait (quasiment) le même nom qu'une chanteuse française de RnB des années 2000 ?,La Playstation Vita
699,JV,Jeu Vidéo,Quelle série de RPG Star Wars se déroulait bien avant les événements dépeints dans les films ?,Les 2 jeux Knights of the Old Republic et le MMO The Old Republic
700,Culture G,Cinéma,"Si je suis un seigneur Sith et que je veux ordonner à mon armée de clones d'anéantir l'Ordre Jedi, je dois leur donner quelle consigne ?",« Exécutez l'ordre 66 »
701,Culture G,Musique,"À quelle chanteuse française doit-on, entre autres, les chansons Maman a tort, Désenchantée ou encore Sans contrefaçon ?",Mylène Farmer
702,Culture G,Nourriture,Comment s'appelle la mascotte de la chaîne de fast-food KFC ?,Le Colonel Sanders
703,Culture G,Cinéma,Quel élément marque le début de l'an 0 de la chronologie de l'univers de Star Wars ?,La bataille de Yavin (destruction de la 1re Étoile noire - ep. IV)
704,Culture G,Cinéma,"Dans Mad Max Fury Road, qu'est-ce que les War Boys crient avant de se jeter au devant d'une mort spectaculaire et certaine ?",« Soyez témoins ! »
705,Culture G,Cinéma,Sur quelle planète se déroule le duel entre Anakin Skywalker et Obi-wan Kenobi à la fin de La Revanche des Siths ?,Mustafar
706,Culture G,Cinéma,Au large de quel pays du continent américain se trouve l'île d'Isla Nublar ou se déroule l'intrigue du premier film Jurassic Park ?,Le Costa Rica
707,Culture G,Comics,Quel personnage ultra mineur de l'univers de Spider Man pilote un robot nommé SP//dr ?,Peni Parker
708,Culture G,Comics,Quel est le principal nom de code de Charles Xavier dans les comics X-Men ?,Professor X
709,Culture G,Comics,Quels sont les deux principaux super-héros américains qui se prénomment Bruce ?,Batman (Bruce Wayne) et Hulk (Bruce Banner)
710,Culture G,Comics,"Qui a incarné Ghost Rider, le moteur fantômatique et flamboyant des comics Marvel, au cinéma ?",Nicolas Cage
711,Culture G,Nourriture,"Ça vient de quel pays, à l'origine, la sauce samouraï ?",De Belgique
712,Culture G,Sport,C'était qui Footix ?,La mascotte officielle de la coupe du monde de football de 1998
713,Culture G,Musique,"Dans un orchestre, quel instrument donne traditionnellement le ""la"" afin de permettre à tous les musiciens de s'accorder ?",Le hautbois
714,Japon,Langue,Vrai ou faux : le karoshi est une spécialité culinaire japonaise,"Faux, c'est le terme qui désigne le fait de mourir de surmenage à son travail"
715,Japon,Tech,Quel marque japonaise est principalement connue pour ses calculatrices et ses montres ?,Casio
716,Japon,Musique,Peux-tu me citer un des 3 grands fabriquants japonais de synthétiseurs ?,"Yamaha, Korg, Roland"
717,Otaku,Animé,"D'après les paroles du génériques des 2 premières saisons, interprété par le groupe MAN WITH A MISSION, dans quoi vivent les personnages de Log Horizon ?",Dans une base de données (wow oh)
718,Culture G,Nourriture,Dans quel pays le chocolat Milka est-il produit depuis plus de 100 ans ?,"En Allemagne (il est né en Suisse, mais il y a des débats pour savoir si la marque est Suisse ou Allemande)"
719,Otaku,VN,"Au début d'Higurashi no Naku Koro ni, que souhaite déterrer Rena dans la décharge du village ?",Une statue du Colonel Sanders qu'elle trouve trop mignon et qu'elle veut ramener chez elle
720,Culture G,Tech,"Quels modèles de téléphones portables de chez Nokia, réputés increvables, se sont vendus comme des petits pains à la fin 1990, début 2000 ?",Nokia 3210 et 3310
721,Culture G,Jeu de société,"D'après les paroles de la publicité, qu'est-ce qui est garanti avec Twister (un jeu Hasbro™) ?",Les fous rires
722,Otaku,Animé,De quel instrument joue Ritsu dans K-ON! ?,De la batterie
723,Otaku,Animé,Quel est l'instrument de Mio dans K-ON! ?,La basse
724,Otaku,Animé,De quel instrument joue Azusa dans K-ON! ?,De la guitare électrique
725,Otaku,Animé,De quel instrument joue Tsumugi dans K-ON! ?,Du clavier
726,Culture G,Jeu de société,"Que doit-on dire à quelqu'un qui ne dit pas ""Uno"" quand il ne lui reste plus qu'une carte ?",CONTRE-UNO !!!!!!
727,Otaku,Animé,"Dans le film de Makoto Shinkai The Garden of Words, comment les 2 protagonistes font pour se retrouver un jour précis au parc de Shinjuku ?",Ils ne sortent que pendant les jours de pluie.
728,Otaku,Manga,"Quelle entreprise très particulière est au cœur du manga MagiLumière Co., Ltd. ?",Une start-up de magical girls
729,Culture G,Jeu de société,"D'après les paroles de la publicité, on joue à Destin pour quoi ?",Pour changer de vie.
730,Culture G,Jeu de société,Quel jeu de société demande aux joueurs de remplir un camembert en répondant correctement à des tas de questions de culture générale ?,Trivial Pursuit
731,Otaku,Manga,"Qu'apprend Ruri, l'héroïne du manga Ruri Dragon alors qu'elle se réveille un manga et découvre que des cornes lui ont poussé sur le crâne ?","Qu'elle est mi-humaine, mi-dragonne"
732,Culture G,Jeu de société,Comment appelle-t-on un plateau de jeu de go ?,Un goban
733,Otaku,Animé,Dans quel animé croise-t-on un personnage nommé Edward Wong Hau Pepelu Tivrusky IV et sous quel nom le connaît-on plus souvent ?,Cowboy Bebop / Ed
734,Culture G,Tech,"Sous quel nom connaît-on mieux le format de fichier informatique baptisé ""Portable Network Graphics"" ?",PNG
735,Culture G,Tech,"De quel logiciel de traitement de texte le ""docx"" est-il le format natif ?","Microsoft Word (depuis 2007, car avant, c'était juste ""doc"")"
736,Otaku,Manga,"Dans Ouran High School, quel club de son lycée la protagoniste Haruhi Fujioka est-elle contrainte de rejoindre après avoir cassé un vase très cher ?",Le club des hôtes
737,Otaku,BL,"Bien avant Given, quel manga boy's love sorti à la fin des années 1990 et adapté en animé mettait en scène un groupe de musique ?",Gravitation
738,Otaku,Light Novel,"Dans quel type de jeu vidéo se réincarne l'héroïne de Si je suis la Vilaine, autant mater le Boss final ?",Un otome game
739,Otaku,Manga,"Quelles sont les 3 raisons de vivre d'Anzu, l'héroïne de Romantic Killer, qui vont lui être confisquées pour la forcer à fréquenter des beaux gosses et peut-être trouver l'amour ?","Son chat, le chocolat et les jeux vidéo"
740,Random,Langue,Québéquise un titre : tu peux me proposer un titre québécois pour la série Squid Game ?,Le Jeu du poulpe
741,Random,Langue,Québéquise un titre : tu peux me proposer un titre québécois pour le manga Death Note ?,Le Carnet de la mort
742,Random,Langue,Québéquise un titre : tu peux me proposer un titre québécois pour le film The Garden of Words ?,Le Jardin des mots
743,Culture G,Tech,"Quel format de cassette à ruban fut le principal concurrent de la VHS dans les années 70-80, mais qui n'a jamais vraiment réussi à se démocratiser ?",La Betamax
744,JV,Console,"Sans compter la croix directionnelle et le Start, combien y avait-il de boutons sur une manette de Sega Saturn ?","8 boutons (6 en façade, 2 gachettes)"
745,Otaku,Animé,"Dans le monde de l'animation japonaise, qu'est-ce qu'un OVA ?","Un film ou une série destiné à être diffusé uniquement en physique, et non à la télévision / au cinéma."
746,Japon,Nourriture,"Le taiyaki est une patisserie japonaise généralement fourrée à la pate de haricot azuki. Mais traditionnellement, ça a quelle forme, un taiyaki ?",Une forme de poisson
747,Japon,Nourriture,C'est quoi un takoyaki ?,Une boulette de pâte farcie de petits morceaux de poulpe (originaire d'Osaka)
748,Culture G,Langue,Quel mot utilise-t-on pour désigner les personnes qui croient dur comme fer à la théorie de la Terre plate ?,Les platistes
749,Japon,Sport,Quel est le sport national au Japon ?,Le baseball
750,Japon,Nourriture,Comment s'appellent les grosses nouilles japonaise à base de farine de blé ?,Les udon
751,Otaku,Manga,"La série Squid Game a un concept très proche d'un manga des années 2000 (toujours en cours) adapté deux fois en animé. C'est quoi, ce manga ?",Kaiji
752,Otaku,Animé,"Traditionnellement, à quelle classe de Servant appartiennent les magiciens dans la franchise Fate ?",Caster
753,Otaku,Light Novel,"Quelle série de romans, adaptée en animé, met en scène une motarde sans tête et une guerre de gangs à Tokyo ?",Durarara!!
754,Japon,Folklore,"Selon la légende japonaise, quel animal prépare du mochi sur la Lune ?",Un lapin
